,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
DE07299_01.h1,0,0,0,0,0,0,0,0,0,1
DE07299_01.h2,0,0,0,0,0,0,0,0,0,1
DE07299_02.h1,0,0,0,0,0,0,0,0,0,1
DE07299_02.h2,0,0,0,0,0,0,0,0,0,1
DE07299_03.h1,0,0,0,0,0,0,0,0,0,1
DE07299_03.h2,0,0,0,0,0,0,0,0,0,1
DE07299_04.h1,0,0,0,0,0,0,0,0,0,1
DE07299_04.h2,0,0,0,0,0,0,0,0,0,1
DE07299_05.h1,0,0,0,0,0,0,0,0,0,1
DE07299_05.h2,0,0,0,0,0,0,0,0,0,1
DE07299_06.h1,0,0,0,0,0,0,0,0,0,1
DE07299_06.h2,0,0,0,0,0,0,0,0,0,1
DE07299_07.h1,0,0,0,0,0,0,0,0,0,1
DE07299_07.h2,0,0,0,0,0,0,0,0,0,1
DE07299_08.h1,0,0,0,0,0,0,0,0,0,1
DE07299_08.h2,0,0,0,0,0,0,0,0,0,1
DE07299_10.h1,0,0,0,0,0,0,0,0,0,1
DE07299_10.h2,0,0,0,0,0,0,0,0,0,1
DE07299_11.h1,0,0,0,0,0,0,0,0,0,1
DE07299_11.h2,0,0,0,0,0,0,0,0,0,1
DE07299_12.h1,0,0,0,0,0,0,0,0,0,1
DE07299_12.h2,0,0,0,0,0,0,0,0,0,1
DE07299_13.h1,0,0,0,0,0,0,0,0,0,1
DE07299_13.h2,0,0,0,0,0,0,0,0,0,1
DE07299_14.h1,0,0,0,0,0,0,0,0,0,1
DE07299_14.h2,0,0,0,0,0,0,0,0,0,1
DE07299_15.h1,0,0,0,0,0,0,0,0,0,1
DE07299_15.h2,0,0,0,0,0,0,0,0,0,1
DE07299_16.h1,0,0,0,0,0,0,0,0,0,1
DE07299_16.h2,0,0,0,0,0,0,0,0,0,1
DE07299_17.h1,0,0,0,0,0,0,0,0,0,1
DE07299_17.h2,0,0,0,0,0,0,0,0,0,1
DE07299_18.h1,0,0,0,0,0,0,0,0,0,1
DE07299_18.h2,0,0,0,0,0,0,0,0,0,1
DE07299_19.h1,0,0,0,0,0,0,0,0,0,1
DE07299_19.h2,0,0,0,0,0,0,0,0,0,1
DE07299_20.h1,0,0,0,0,0,0,0,0,0,1
DE07299_20.h2,0,0,0,0,0,0,0,0,0,1
DE07299_21.h1,0,0,0,0,0,0,0,0,0,1
DE07299_21.h2,0,0,0,0,0,0,0,0,0,1
DE07299_22.h1,0,0,0,0,0,0,0,0,0,1
DE07299_22.h2,0,0,0,0,0,0,0,0,0,1
DE07299_23.h1,0,0,0,0,0,0,0,0,0,1
DE07299_23.h2,0,0,0,0,0,0,0,0,0,1
DE07299_24.h1,0,0,0,0,0,0,0,0,0,1
DE07299_24.h2,0,0,0,0,0,0,0,0,0,1
