,Ile1781.1_Leu_T,Ile1781.1_Leu_C,Ile1781.1_Val_G,Ile1781.2_Thr_C,Trp1999.2_Leu_T,Trp2027.3_Cys_T,Trp2027.3_Cys_C,Ile2041.2_Asn_A,Asp2078.2_Gly_G,wildtype
DE01467_01.h1,0,0,0,0,0,0,0,0,0,1
DE01467_01.h2,0,0,0,0,0,0,0,0,0,1
DE01467_02.h1,0,0,0,0,0,0,0,0,0,1
DE01467_02.h2,0,0,0,0,0,0,0,0,0,1
DE01467_03.h1,0,0,0,0,0,0,0,0,0,1
DE01467_03.h2,0,0,0,0,0,0,0,0,0,1
DE01467_04.h1,0,0,0,0,0,0,0,0,0,1
DE01467_04.h2,0,0,0,0,0,0,0,0,0,1
DE01467_05.h1,0,0,0,0,0,0,0,0,0,1
DE01467_05.h2,0,0,0,0,0,0,0,0,0,1
DE01467_06.h1,0,0,0,0,0,0,0,0,0,1
DE01467_06.h2,0,0,0,0,0,0,0,0,0,1
DE01467_07.h1,0,1,0,0,0,0,0,0,0,0
DE01467_07.h2,0,0,0,0,0,0,0,0,0,1
DE01467_08.h1,0,0,0,0,0,0,0,0,0,1
DE01467_08.h2,0,0,0,0,0,0,0,0,0,1
DE01467_09.h1,0,1,0,0,0,0,0,0,0,0
DE01467_09.h2,0,0,0,0,0,0,0,0,0,1
DE01467_10.h1,0,0,0,0,0,0,0,0,0,1
DE01467_10.h2,0,0,0,0,0,0,0,0,0,1
DE01467_11.h1,0,0,0,0,0,0,0,0,0,1
DE01467_11.h2,0,0,0,0,0,0,0,0,0,1
DE01467_12.h1,0,0,0,0,0,0,0,0,0,1
DE01467_12.h2,0,1,0,0,0,0,0,0,0,0
DE01467_13.h1,0,0,0,0,0,0,0,0,0,1
DE01467_13.h2,0,1,0,0,0,0,0,0,0,0
DE01467_15.h1,1,0,0,0,0,0,0,0,0,0
DE01467_15.h2,0,1,0,0,0,0,0,0,0,0
DE01467_16.h1,0,0,0,0,0,0,0,0,0,1
DE01467_16.h2,0,1,0,0,0,0,0,0,0,0
DE01467_17.h1,0,0,0,0,0,0,0,0,0,1
DE01467_17.h2,0,0,0,0,0,0,0,0,0,1
DE01467_18.h1,0,0,0,0,0,0,0,0,0,1
DE01467_18.h2,0,1,0,0,0,0,0,0,0,0
DE01467_19.h1,0,0,0,0,0,0,0,0,0,1
DE01467_19.h2,0,1,0,0,0,0,0,0,0,0
DE01467_20.h1,0,0,0,0,0,0,0,0,0,1
DE01467_20.h2,0,0,0,0,0,0,0,0,0,1
DE01467_21.h1,0,0,0,0,0,0,0,0,0,1
DE01467_21.h2,0,0,0,0,0,0,0,0,0,1
DE01467_23.h1,0,1,0,0,0,0,0,0,0,0
DE01467_23.h2,0,0,0,0,0,0,0,0,0,1
DE01467_24.h1,0,0,0,0,0,0,0,0,0,1
DE01467_24.h2,0,0,0,0,0,0,0,0,0,1
